,Date,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Time,Species 
5543,06-Apr-1919,1919.0,Unprovoked,USA,Florida,"Florida Keys 25ºN,82ºW",Knocked into the water,M,Fatal,Y,,"3.7 m [12'], 1200-lb shark. Shark caught & its jaw exhibited at the Carnegie Museum"
5545,17-Jan-1919,1919.0,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Swimming,M,Survived,N,17h15,3.7 m to 4.3 m [12' to 14']  shark
5546,15-Jan-1919,1919.0,Unprovoked,NEW ZEALAND,South Island,"Tahuna Beach, Nelson",Swimming,F,Survived,N,Afternoon,
5547,09-Jan-1919,1919.0,Unprovoked,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",Wading,M,Fatal,Y,07h30,12' shark
5548,05-Jan-1919,1919.0,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Wading (shrimping),M,Fatal,Y,10h00,
5549,Reported to have taken place in 1919,1919.0,Watercraft,ITALY,,Savona,Fishing,M,No Injury,N,,13' shark
5550,1919,1919.0,Unprovoked,USA,Florida,"Near Panama City, Bay County",Swimming,F,Survived,N,,
5551,Nov-1918,1918.0,Unprovoked,USA,Hawaii,Papaikou plantation ,Fishing,M,Fatal,Y,,
5552,Nov-1918,1918.0,Sea Disaster,SAN DOMINGO,60 miles north of San Domingo in the West Indies,Muchoir Banks,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.,M,Fatal,Y,,"Tiger sharks, 2.4 m to 4.9 m [8' to 16'] "
5553,19-Sep-1918,1918.0,Unprovoked,AUSTRALIA,Queensland,Townsville,Bathing,M,Fatal,Y,,
5554,22-Mar-1918,1918.0,Unprovoked,AUSTRALIA,New South Wales,Newcastle,Surfing,M,Survived,N,18h00,12' shark
5555,1918,1918.0,Unprovoked,AUSTRALIA,Queensland,Near Cairns,Diving,M,Survived,N,,
5556,15-Dec-1917,1917.0,Unprovoked,AUSTRALIA,Western Australia,Port Hedland,Swimming,M,Survived,N,05h00,
5557,Nov-1917,1917.0,Unprovoked,MOZAMBIQUE,Maputo Province,Off Inhaca Island,Wreck of the tug Magellan,M,Fatal,Y,Night,
5558,21-Sep-1917,1917.0,Unprovoked,USA,New Jersey,"Sea Bright, Monmouth County","Swimming, towing an empty barrel",M,Survived,N,,
5559,09-Sep-1917,1917.0,Provoked,USA,Hawaii,"Nanakuli, Oah’u",Stuffing a shark into an automobile,M,Survived,N,,12' shark
5560,Sep-1917,1917.0,Unprovoked,PANAMA,Colon,,Swimming to shore from the Medic,M,Fatal,Y,,
5561,18-Jul-1917,1917.0,Unprovoked,USA,Florida,Florida Keys ,Diving,M,Fatal,Y,Afternoon,
5562,15-Jul-1917,1917.0,Sea Disaster,IRELAND,Off Ireland,82 miles from Fastnet,Ship Mariston torpedoed & sunk,M,Fatal,Y,Morning,
5563,03-Jun-1917,1917.0,Unprovoked,USA,South Carolina,Calibogue Sound,Swimming beside launch,M,Survived,N,P.M.,
5564,31-May-1917,1917.0,Unprovoked,PHILIPPINES,Luzon Island,Canacao Bay,Swimming,M,Fatal,Y,17h45,
5565,Reported 05-May-1917,1917.0,Unprovoked,KUWAIT,,,Diving for pearls,M,Survived,N,,
